ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore,Cluster
5371,37.0,100761.0,604.0,0,3,16,28479.0,84,2,0,0,88,0.2809485890643107,3,1,0.4307513944997947,0,1,0,23,19,2254,1421,10213,2909.0,8396.75,0.809983107925423,7.0,7304.0,0.251479,0.2223971890069537,671.3693242703855,0.0904361001900003,1,41.6,4
1008,35.0,137594.125,509.0,0,3,11,11222.0,60,1,2,0,411,0.2895218553483874,2,4,0.1489076048327878,0,1,0,30,12,4456,3706,42599,20156.0,11374.072916666668,0.8315074831811249,7.0,22443.0,0.261722,0.2704514368588836,342.9702999901347,0.0478321558089261,1,38.400000000000006,4
4365,44.0,73272.0,483.0,0,3,20,31573.0,48,3,0,2,442,0.5139465021318005,4,1,0.206625773921825,0,3,0,21,25,5212,1619,75175,55131.0,6106.0,0.8008300974084427,1.0,20044.0,0.2850729999999999,0.3420875999999999,1215.3876006337234,0.2714358992194109,0,53.0,3
541,41.0,57115.0,436.5,0,4,20,21937.0,12,1,3,3,409,0.2567889002304054,1,1,0.1846811196661846,0,1,0,23,14,5046,1389,6435,40497.0,4759.583333333333,0.954406965505639,5.0,1714.0,0.280937,0.2806134870825996,2022.154534639842,0.5308679738750236,0,50.0,0
6979,39.0,61155.0,551.0,0,4,19,31510.0,48,0,0,3,533,0.2166960949993339,6,1,0.1841854655436697,0,1,0,19,3,9010,2117,72697,16756.0,5096.25,0.8402668842681824,3.0,55941.0,0.25101,0.2508145535948308,1046.213156154716,0.3098774895569715,0,51.0,3
6008,28.0,45253.0,638.0,0,4,2,16435.0,24,1,1,3,336,0.1534962755613964,1,3,0.0884729601026118,0,3,0,25,29,12145,679,67589,19950.0,3771.0833333333335,0.6027072014192504,10.0,47639.0,0.172435,0.175843206433078,817.2054982215438,0.3058021783894664,0,47.0,1
5572,26.0,64538.0,508.0,0,3,0,18774.0,60,1,0,2,673,0.3995082593572858,0,4,0.2317858354525213,0,0,0,14,28,8508,817,13135,92319.625,5378.166666666667,0.6606634183960389,3.0,1030.0,0.269774,0.2819697480788757,586.7768678977861,0.2342390903773502,0,52.0,3
1496,35.0,60952.0,581.0,0,4,13,40297.0,60,2,1,0,206,0.2420519461280038,2,2,0.1153792093293835,0,1,0,33,13,2533,354,140455,6549.0,5079.333333333333,0.7515055722314714,8.0,133906.0,0.254797,0.2343721621157928,1146.1367496491412,0.2662035863595894,0,46.0,2
9888,33.0,31605.0,587.0,2,4,11,21781.0,120,1,2,2,743,0.5772622985390814,7,1,0.6291967698519401,0,1,1,27,17,1048,454,37555,39089.0,2633.75,0.8272127860632087,6.0,6880.0,0.283281,0.2523209836341582,499.0709409556712,0.4715978893044789,0,69.0,3
4071,38.0,77502.0,577.0,0,1,17,29493.0,48,2,4,0,796,0.0965002825987198,3,0,0.1909350854380696,0,1,1,20,10,1624,64,39864,26321.0,6458.5,0.805318547261228,4.0,13543.0,0.235993,0.234405355838721,952.4267809032756,0.2707171604712046,0,55.0,1
